plate index,star index,x pixel,y pixel,lambda,beta,Hwmag,nphoton
0,0,9.669552e+01,9.735075e+01,999.000,999.000,13.5,999.0
0,1,2.870205e+02,9.634309e+01,999.000,999.000,13.5,999.0
0,2,4.784265e+02,9.483701e+01,999.000,999.000,13.5,999.0
0,3,6.690750e+02,9.581291e+01,999.000,999.000,13.5,999.0
0,4,8.636468e+02,9.566054e+01,999.000,999.000,13.5,999.0
0,5,1.057248e+03,9.577232e+01,999.000,999.000,13.5,999.0
0,6,1.248033e+03,9.659686e+01,999.000,999.000,13.5,999.0
0,7,1.440512e+03,9.472098e+01,999.000,999.000,13.5,999.0
0,8,1.633023e+03,9.696666e+01,999.000,999.000,13.5,999.0
0,9,1.823118e+03,9.487204e+01,999.000,999.000,13.5,999.0
0,10,9.865229e+01,2.878115e+02,999.000,999.000,13.5,999.0
0,11,2.871231e+02,2.888870e+02,999.000,999.000,13.5,999.0
0,12,4.803736e+02,2.886637e+02,999.000,999.000,13.5,999.0
0,13,6.747396e+02,2.873090e+02,999.000,999.000,13.5,999.0
0,14,8.638857e+02,2.897689e+02,999.000,999.000,13.5,999.0
0,15,1.056114e+03,2.883655e+02,999.000,999.000,13.5,999.0
0,16,1.247488e+03,2.870456e+02,999.000,999.000,13.5,999.0
0,17,1.440335e+03,2.880425e+02,999.000,999.000,13.5,999.0
0,18,1.629873e+03,2.871689e+02,999.000,999.000,13.5,999.0
0,19,1.823353e+03,2.884342e+02,999.000,999.000,13.5,999.0
0,20,9.769409e+01,4.786582e+02,999.000,999.000,13.5,999.0
0,21,2.882113e+02,4.804800e+02,999.000,999.000,13.5,999.0
0,22,4.797596e+02,4.782295e+02,999.000,999.000,13.5,999.0
0,23,6.723729e+02,4.810966e+02,999.000,999.000,13.5,999.0
0,24,8.644146e+02,4.802722e+02,999.000,999.000,13.5,999.0
0,25,1.056152e+03,4.813565e+02,999.000,999.000,13.5,999.0
0,26,1.248579e+03,4.792895e+02,999.000,999.000,13.5,999.0
0,27,1.438340e+03,4.779055e+02,999.000,999.000,13.5,999.0
0,28,1.632591e+03,4.786304e+02,999.000,999.000,13.5,999.0
