plate index,star index,x pixel,y pixel,lambda,beta,Hwmag,nphoton
0,0,5.082676e+01,4.955326e+01,999.000,999.000,12.0,999.0
0,1,1.439217e+02,4.921760e+01,999.000,999.000,12.0,999.0
0,2,2.459581e+02,4.894201e+01,999.000,999.000,12.0,999.0
0,3,3.430696e+02,4.668106e+01,999.000,999.000,12.0,999.0
0,4,4.423183e+02,4.943149e+01,999.000,999.000,12.0,999.0
0,5,5.393856e+02,4.687372e+01,999.000,999.000,12.0,999.0
0,6,6.388273e+02,4.990992e+01,999.000,999.000,12.0,999.0
0,7,7.350317e+02,4.960597e+01,999.000,999.000,12.0,999.0
0,8,8.324838e+02,4.983006e+01,999.000,999.000,12.0,999.0
0,9,9.315805e+02,4.982770e+01,999.000,999.000,12.0,999.0
0,10,1.029432e+03,4.929851e+01,999.000,999.000,12.0,999.0
0,11,1.126643e+03,4.846500e+01,999.000,999.000,12.0,999.0
0,12,1.224753e+03,4.869294e+01,999.000,999.000,12.0,999.0
0,13,1.323719e+03,5.050807e+01,999.000,999.000,12.0,999.0
0,14,1.421704e+03,4.841777e+01,999.000,999.000,12.0,999.0
0,15,1.518506e+03,4.877188e+01,999.000,999.000,12.0,999.0
0,16,1.616632e+03,4.827549e+01,999.000,999.000,12.0,999.0
0,17,1.713193e+03,4.848275e+01,999.000,999.000,12.0,999.0
0,18,1.814679e+03,4.869344e+01,999.000,999.000,12.0,999.0
0,19,1.910776e+03,4.925655e+01,999.000,999.000,12.0,999.0
0,20,5.033728e+01,1.467061e+02,999.000,999.000,12.0,999.0
0,21,1.474175e+02,1.466453e+02,999.000,999.000,12.0,999.0
0,22,2.469440e+02,1.463832e+02,999.000,999.000,12.0,999.0
0,23,3.445371e+02,1.470896e+02,999.000,999.000,12.0,999.0
0,24,4.413183e+02,1.456558e+02,999.000,999.000,12.0,999.0
0,25,5.404808e+02,1.470522e+02,999.000,999.000,12.0,999.0
0,26,6.360499e+02,1.483100e+02,999.000,999.000,12.0,999.0
0,27,7.362586e+02,1.462331e+02,999.000,999.000,12.0,999.0
0,28,8.315196e+02,1.469546e+02,999.000,999.000,12.0,999.0
0,29,9.313432e+02,1.498172e+02,999.000,999.000,12.0,999.0
0,30,1.030065e+03,1.460073e+02,999.000,999.000,12.0,999.0
0,31,1.127224e+03,1.453789e+02,999.000,999.000,12.0,999.0
0,32,1.224633e+03,1.465732e+02,999.000,999.000,12.0,999.0
0,33,1.322194e+03,1.488069e+02,999.000,999.000,12.0,999.0
0,34,1.420657e+03,1.490351e+02,999.000,999.000,12.0,999.0
0,35,1.520051e+03,1.457840e+02,999.000,999.000,12.0,999.0
0,36,1.617891e+03,1.475701e+02,999.000,999.000,12.0,999.0
0,37,1.714738e+03,1.470045e+02,999.000,999.000,12.0,999.0
0,38,1.811754e+03,1.464116e+02,999.000,999.000,12.0,999.0
0,39,1.911674e+03,1.450543e+02,999.000,999.000,12.0,999.0
0,40,4.755013e+01,2.460246e+02,999.000,999.000,12.0,999.0
0,41,1.464691e+02,2.441395e+02,999.000,999.000,12.0,999.0
0,42,2.442652e+02,2.452990e+02,999.000,999.000,12.0,999.0
0,43,3.437433e+02,2.450819e+02,999.000,999.000,12.0,999.0
0,44,4.412359e+02,2.468702e+02,999.000,999.000,12.0,999.0
0,45,5.394619e+02,2.461760e+02,999.000,999.000,12.0,999.0
0,46,6.372724e+02,2.438447e+02,999.000,999.000,12.0,999.0
0,47,7.343221e+02,2.447376e+02,999.000,999.000,12.0,999.0
0,48,8.335355e+02,2.460368e+02,999.000,999.000,12.0,999.0
0,49,9.324125e+02,2.436670e+02,999.000,999.000,12.0,999.0
0,50,1.028963e+03,2.446077e+02,999.000,999.000,12.0,999.0
0,51,1.127634e+03,2.452276e+02,999.000,999.000,12.0,999.0
